arm,repo,metric,value,unit
cfetch,lodash,first_scan,0.42,s
cfetch,lodash,cached_scan,0.04,s
cfetch,lodash,find_p50_chunk,31.8,ms
cfetch,lodash,find_p95_chunk,32.9,ms
cfetch,lodash,find_p50_debounce,31.3,ms
cfetch,lodash,find_p95_debounce,37.9,ms
cfetch,lodash,find_p50_isEqual,31.4,ms
cfetch,lodash,find_p95_isEqual,33.3,ms
cfetch,lodash,state_size,0.3,MB
cfetch,fastify,first_scan,0.72,s
cfetch,fastify,cached_scan,0.06,s
cfetch,fastify,find_p50_router,34.9,ms
cfetch,fastify,find_p95_router,43.3,ms
cfetch,fastify,find_p50_schema,33.7,ms
cfetch,fastify,find_p95_schema,37.2,ms
cfetch,fastify,find_p50_plugin,32,ms
cfetch,fastify,find_p95_plugin,34.9,ms
cfetch,fastify,state_size,1.2,MB
cfetch,tokio,first_scan,1,s
cfetch,tokio,cached_scan,0.05,s
cfetch,tokio,find_p50_spawn,33.7,ms
cfetch,tokio,find_p95_spawn,45,ms
cfetch,tokio,find_p50_runtime,34.6,ms
cfetch,tokio,find_p95_runtime,37.8,ms
cfetch,tokio,find_p50_select,33.9,ms
cfetch,tokio,find_p95_select,35.5,ms
cfetch,tokio,state_size,5.6,MB
cfetch,scale300,first_scan,0.39,s
cfetch,scale300,cached_scan,0.05,s
cfetch,scale300,find_p50_audit,33,ms
cfetch,scale300,find_p95_audit,35.4,ms
cfetch,scale300,find_p50_cache,35.1,ms
cfetch,scale300,find_p95_cache,39.5,ms
cfetch,scale300,state_size,0.5,MB
openwolf,lodash,first_scan,1.81,s
openwolf,lodash,cached_scan,0.36,s
openwolf,lodash,find_p50_chunk,110.1,ms
openwolf,lodash,find_p95_chunk,119.6,ms
openwolf,lodash,find_p50_debounce,109.1,ms
openwolf,lodash,find_p95_debounce,111.1,ms
openwolf,lodash,find_p50_isEqual,108,ms
openwolf,lodash,find_p95_isEqual,110.9,ms
openwolf,lodash,state_size,0.2,MB
openwolf,fastify,first_scan,3.3,s
openwolf,fastify,cached_scan,0.72,s
openwolf,fastify,find_p50_router,118.9,ms
openwolf,fastify,find_p95_router,124.8,ms
openwolf,fastify,find_p50_schema,107.1,ms
openwolf,fastify,find_p95_schema,115.1,ms
openwolf,fastify,find_p50_plugin,107.7,ms
openwolf,fastify,find_p95_plugin,110.2,ms
openwolf,fastify,state_size,0.3,MB
openwolf,tokio,first_scan,1.73,s
openwolf,tokio,cached_scan,1.04,s
openwolf,tokio,find_p50_spawn,105.2,ms
openwolf,tokio,find_p95_spawn,109.7,ms
openwolf,tokio,find_p50_runtime,108.6,ms
openwolf,tokio,find_p95_runtime,111.3,ms
openwolf,tokio,find_p50_select,108,ms
openwolf,tokio,find_p95_select,112.9,ms
openwolf,tokio,state_size,0.9,MB
openwolf,scale300,first_scan,1.2,s
openwolf,scale300,cached_scan,0.3,s
openwolf,scale300,find_p50_audit,108.5,ms
openwolf,scale300,find_p95_audit,112,ms
openwolf,scale300,find_p50_cache,107.7,ms
openwolf,scale300,find_p95_cache,114.6,ms
openwolf,scale300,state_size,0.3,MB
